Time (sec),Calculated Load (g/rev),Dyn Adv Mult (DAM),Dynamic Adv (°),Feedback Knock (°),Fine Knock Learn (°),Ignition Timing (°),MAF (g/s),MAF Volt (V),RPM (RPM),TD Boost Error (psi),Throttle Pos (%),Wastegate Duty (%),AP Info:[AP3-SUB-001 v1.7.3.1-17014][2005 USDM Impreza WRX][Reflash: Stage2 ACN91 v350 HWG.ptm - Realtime: Stage2 ACN91 v350 HWG.ptm]
0.000,0.27,16,0.00,0.00,0.00,25.00,8.79,1.62,1923,8.06,4.3,0.00,0
0.023,0.27,16,0.00,0.00,0.00,25.00,9.10,1.64,1929,8.14,4.3,0.00,0
0.096,0.28,16,0.00,0.00,0.00,25.00,9.10,1.64,1950,8.08,4.3,0.00,0
0.151,0.28,16,0.00,0.00,0.00,25.50,8.97,1.64,1950,8.10,4.3,0.00,0
0.209,0.28,16,0.00,0.00,0.00,26.00,9.43,1.66,1963,8.10,4.3,0.00,0
0.264,0.28,16,0.00,0.00,0.00,26.00,9.26,1.64,1951,8.08,4.3,0.00,0
0.326,0.27,16,0.00,0.00,0.00,25.50,8.44,1.60,1951,8.08,4.3,0.00,0
0.380,0.27,16,0.00,0.00,0.00,24.50,8.44,1.62,1949,8.10,4.3,0.00,0
0.458,0.27,16,0.00,0.00,0.00,24.50,8.46,1.60,1952,8.10,4.3,0.00,0
0.511,0.27,16,0.00,0.00,0.00,25.00,9.10,1.62,1959,8.08,4.3,0.00,0
0.565,0.27,16,0.00,0.00,0.00,25.00,8.81,1.64,1959,8.08,4.3,0.00,0
0.621,0.27,16,0.00,0.00,0.00,25.00,8.94,1.62,1980,8.10,4.3,0.00,0
0.684,0.27,16,0.00,0.00,0.00,25.00,9.01,1.64,1987,8.10,4.3,0.00,0
0.738,0.27,16,0.00,0.00,0.00,25.00,9.01,1.64,2040,8.10,4.3,0.00,0
0.810,0.27,16,0.00,0.00,0.00,25.00,8.80,1.64,1976,8.10,4.3,0.00,0
0.862,0.27,16,0.00,0.00,0.00,25.00,8.83,1.64,1962,8.06,4.3,0.00,0
0.915,0.27,16,0.00,0.00,0.00,25.00,8.32,1.60,1970,8.10,4.3,0.00,0
0.981,0.27,16,0.00,0.00,0.00,25.00,9.18,1.64,1974,8.12,4.3,0.00,0
1.038,0.27,16,0.00,0.00,0.00,25.50,9.16,1.64,1988,8.08,4.3,0.00,0
1.093,0.27,16,0.00,0.00,0.00,25.00,8.67,1.62,1996,8.08,4.3,0.00,0
1.166,0.27,16,0.00,0.00,0.00,25.00,8.52,1.62,1999,8.08,4.3,0.00,0
1.210,0.26,16,0.00,0.00,0.00,24.50,8.62,1.62,1988,8.10,4.3,0.00,0
1.273,0.27,16,0.00,0.00,0.00,24.50,9.16,1.64,1982,8.08,4.3,0.00,0
1.331,0.27,16,0.00,0.00,0.00,25.00,9.16,1.64,1983,8.10,4.3,0.00,0
1.393,0.27,16,0.00,0.00,0.00,25.50,9.16,1.64,1934,8.10,4.3,0.00,0
1.448,0.27,16,0.00,0.00,0.00,25.50,9.15,1.64,1998,8.06,4.3,0.00,0
1.514,0.27,16,0.00,0.00,0.00,26.00,9.16,1.66,2013,8.08,4.3,0.00,0
1.566,0.27,16,0.00,0.00,0.00,26.00,9.24,1.66,2025,8.06,4.3,0.00,0
1.631,0.27,16,0.00,0.00,0.00,25.50,8.98,1.64,2012,8.08,4.3,0.00,0
1.693,0.27,16,0.00,0.00,0.00,25.50,9.33,1.64,1992,8.08,4.3,0.00,0
1.746,0.28,16,0.00,0.00,0.00,26.00,9.48,1.66,1997,8.08,4.3,0.00,0
1.811,0.28,16,0.00,0.00,0.00,26.00,9.07,1.64,2013,8.08,4.3,0.00,0
1.866,0.27,16,0.00,0.00,0.00,26.00,8.97,1.66,2040,8.06,4.3,0.00,0
1.923,0.27,16,0.00,0.00,0.00,26.00,9.33,1.66,2037,8.06,4.3,0.00,0
1.987,0.27,16,0.00,0.00,0.00,26.00,9.33,1.66,2013,8.06,4.3,0.00,0
2.058,0.27,16,0.00,0.00,0.00,26.00,9.43,1.66,2013,8.08,4.3,0.00,0
2.110,0.27,16,0.00,0.00,0.00,26.00,9.25,1.66,2018,8.10,4.3,0.00,0
2.167,0.27,16,0.00,0.00,0.00,26.00,9.10,1.64,2031,8.08,4.3,0.00,0
2.227,0.27,16,0.00,0.00,0.00,25.50,9.06,1.64,2040,8.08,4.3,0.00,0
2.282,0.27,16,0.00,0.00,0.00,26.00,9.33,1.66,2047,8.10,4.3,0.00,0
2.339,0.27,16,0.00,0.00,0.00,25.50,9.12,1.64,2036,8.08,4.3,0.00,0
2.410,0.27,16,0.00,0.00,0.00,25.50,9.20,1.64,2028,8.08,4.3,0.00,0
2.462,0.27,16,0.00,0.00,0.00,26.00,9.34,1.66,2048,8.08,4.3,0.00,0
2.526,0.27,16,0.00,0.00,0.00,26.00,9.48,1.66,2048,8.12,4.3,0.00,0
2.581,0.27,16,0.00,0.00,0.00,26.00,9.48,1.66,2102,8.08,4.3,0.00,0
2.644,0.27,16,0.00,0.00,0.00,26.00,9.16,1.64,2034,8.08,4.3,0.00,0
2.697,0.27,16,0.00,0.00,0.00,25.50,9.28,1.66,2034,8.08,4.3,0.00,0
2.761,0.27,16,0.00,0.00,0.00,26.00,9.26,1.66,2059,8.04,4.3,0.00,0
2.819,0.27,16,0.00,0.00,0.00,26.00,9.16,1.66,2066,8.02,4.3,0.00,0
2.882,0.28,16,0.00,0.00,0.00,26.00,9.84,1.66,2040,8.01,4.3,0.00,0
2.940,0.28,16,0.00,0.00,0.00,27.00,9.77,1.66,2040,7.93,4.3,0.00,0
2.997,0.29,16,0.00,0.00,0.00,27.00,10.03,1.70,2068,7.89,4.7,0.00,0
3.052,0.29,16,0.00,0.00,0.00,28.00,10.32,1.70,2072,7.77,4.7,0.00,0
3.119,0.30,16,0.00,0.00,0.00,28.00,10.78,1.72,2054,7.77,4.7,0.00,0
3.175,0.30,16,0.00,0.00,0.00,28.50,10.87,1.74,2064,7.72,5.1,0.00,0
3.230,0.31,16,0.00,0.00,0.00,29.50,10.87,1.74,2099,7.62,5.1,0.00,0
3.288,0.31,16,0.00,0.00,0.00,29.50,11.02,1.72,2096,7.50,5.5,0.00,0
3.355,0.31,16,0.00,0.00,0.00,30.00,11.19,1.74,2096,7.44,5.5,0.00,0
3.413,0.31,16,0.00,0.00,0.00,30.00,10.88,1.72,2080,7.37,5.5,0.00,0
3.475,0.32,16,0.00,0.00,0.00,30.00,10.92,1.76,2086,7.29,5.9,0.00,0
3.532,0.33,16,0.00,0.00,0.00,31.50,12.31,1.80,2115,7.15,6.3,0.00,0
3.589,0.34,16,0.00,0.00,0.00,33.00,12.49,1.80,2124,7.02,8.2,0.00,0
3.647,0.37,16,0.00,0.00,0.00,35.00,14.91,1.96,2138,6.59,8.6,0.00,0
3.704,0.41,16,0.00,0.00,0.00,39.00,16.69,1.98,2176,6.59,9.0,0.00,0
3.771,0.43,16,0.00,0.00,0.00,39.00,16.61,2.00,2172,5.98,9.0,0.00,0
3.829,0.45,16,0.00,0.00,0.00,38.50,16.61,2.00,2138,5.59,9.0,0.00,0
3.888,0.45,16,0.00,0.00,0.00,38.00,17.14,1.98,2220,5.38,9.0,0.00,0
3.944,0.45,16,0.00,0.00,0.00,38.50,16.59,1.98,2220,5.14,9.0,0.00,0
4.001,0.45,16,0.00,0.00,0.00,38.50,17.13,1.98,2233,5.09,9.0,0.00,0
4.067,0.45,16,0.00,0.00,0.00,38.50,17.47,2.02,2274,5.01,9.4,0.00,0
4.123,0.45,16,0.00,0.00,0.00,38.50,17.41,2.02,2284,5.05,9.4,0.00,0
4.180,0.45,16,0.00,0.00,0.00,39.00,17.47,2.00,2329,5.05,9.4,0.00,0
4.251,0.44,16,0.00,0.00,0.00,39.00,16.79,1.98,2325,5.12,9.4,0.00,0
4.303,0.44,16,0.00,0.00,0.00,39.00,17.61,2.02,2358,5.12,9.4,0.00,0
4.362,0.45,16,0.00,0.00,0.00,39.00,18.35,2.04,2404,5.12,9.4,0.00,0
4.418,0.46,16,0.00,0.00,0.00,39.00,18.59,2.06,2408,4.87,9.4,0.00,0
4.494,0.45,16,0.00,0.00,0.00,39.00,18.59,2.06,2377,4.87,9.4,0.00,0
4.536,0.45,16,0.00,0.00,0.00,39.00,18.05,2.04,2476,4.49,9.4,0.00,0
4.603,0.45,16,0.00,0.00,0.00,39.00,18.37,2.04,2476,4.43,9.4,0.00,0
4.655,0.44,16,0.00,0.00,0.00,39.00,17.69,2.04,2479,4.41,9.4,0.00,0
4.731,0.44,16,0.00,0.00,0.00,39.00,18.37,2.06,2500,4.37,9.4,0.00,0
4.783,0.44,16,0.00,0.00,0.00,39.00,17.99,2.04,2534,4.39,9.4,0.00,0
4.840,0.43,16,0.00,0.00,0.00,39.00,17.77,2.02,2563,4.43,9.4,0.00,0
4.897,0.43,16,0.00,0.00,0.00,39.00,18.75,2.04,2574,4.33,9.4,0.00,0
4.960,0.43,16,0.00,0.00,0.00,39.00,17.78,2.02,2596,4.33,9.4,0.00,0
5.014,0.43,16,0.00,0.00,0.00,39.00,18.61,2.04,2610,4.31,9.4,0.00,0
5.076,0.42,16,0.00,0.00,0.00,39.00,17.92,2.02,2645,4.23,9.4,0.00,0
5.132,0.42,16,0.00,0.00,0.00,39.50,17.92,2.02,2674,4.16,9.4,0.00,0
5.209,0.42,16,0.00,0.00,0.00,39.50,18.62,2.06,2674,4.06,9.4,0.00,0
5.251,0.42,16,0.00,0.00,0.00,39.50,18.76,2.04,2702,4.00,9.4,0.00,0
5.308,0.42,16,0.00,0.00,0.00,39.50,18.92,2.06,2717,3.98,9.4,0.00,0
5.374,0.41,16,0.00,0.00,0.00,39.50,18.62,2.02,2738,3.91,9.4,0.00,0
5.432,0.41,16,0.00,0.00,0.00,39.50,18.69,2.06,2757,3.87,9.4,0.00,0
5.489,0.41,16,0.00,0.00,0.00,39.50,18.84,2.06,2780,3.81,9.4,0.00,0
5.551,0.41,16,0.00,0.00,0.00,40.00,18.62,2.06,2802,3.71,9.4,0.00,0
5.607,0.41,16,0.00,0.00,0.00,40.00,19.07,2.08,2821,3.71,9.4,0.00,0
5.672,0.41,16,0.00,0.00,0.00,40.00,19.45,2.08,2836,3.75,9.4,0.00,0
5.730,0.41,16,0.00,0.00,0.00,40.00,18.92,2.06,2859,3.75,9.4,0.00,0
5.783,0.41,16,0.00,0.00,0.00,40.00,18.92,2.06,2864,3.75,9.4,0.00,0
5.857,0.40,16,0.00,0.00,0.00,40.00,19.30,2.06,2864,3.79,9.8,0.00,0
5.911,0.41,16,0.00,0.00,0.00,40.00,19.69,2.08,2880,3.81,9.8,0.00,0
5.968,0.41,16,0.00,0.00,0.00,40.00,19.61,2.08,2896,3.79,9.8,0.00,0
6.026,0.40,16,0.00,0.00,0.00,40.00,19.69,2.08,2939,3.73,9.8,0.00,0
6.084,0.40,16,0.00,0.00,0.00,40.00,19.53,2.08,2957,3.73,9.8,0.00,0
6.140,0.40,16,0.00,0.00,0.00,40.50,19.92,2.08,2958,3.71,9.8,0.00,0
6.213,0.40,16,0.00,0.00,0.00,40.00,19.61,2.08,2975,3.71,9.8,0.00,0
6.265,0.40,16,0.00,0.00,0.00,40.00,19.76,2.08,3012,3.71,9.8,0.00,0
6.318,0.40,16,0.00,0.00,0.00,40.00,19.76,2.08,3030,3.69,9.8,0.00,0
6.383,0.40,16,0.00,0.00,0.00,40.50,19.76,2.08,3038,3.69,9.8,0.00,0
6.437,0.40,16,0.00,0.00,0.00,40.50,20.07,2.10,3038,3.71,9.8,0.00,0
6.505,0.39,16,0.00,0.00,0.00,40.50,19.53,2.08,3074,3.65,9.8,0.00,0
6.562,0.40,16,0.00,0.00,0.00,40.50,20.47,2.12,3082,3.64,9.8,0.00,0
6.618,0.39,16,0.00,0.00,0.00,40.50,19.83,2.08,3075,3.64,9.8,0.00,0
6.682,0.39,16,0.00,0.00,0.00,40.50,20.31,2.10,3117,3.60,9.8,0.00,0
6.734,0.39,16,0.00,0.00,0.00,41.00,20.22,2.10,3120,3.60,9.8,0.00,0
6.810,0.39,16,0.00,0.00,0.00,40.50,20.14,2.10,3138,3.60,9.8,0.00,0
6.852,0.39,16,0.00,0.00,0.00,41.00,20.07,2.08,3182,3.60,9.8,0.00,0
6.916,0.38,16,0.00,0.00,0.00,41.00,19.91,2.10,3176,3.58,9.8,0.00,0
6.977,0.38,16,0.00,0.00,0.00,40.50,20.56,2.10,3209,3.60,9.8,0.00,0
7.031,0.38,16,0.00,0.00,0.00,40.50,20.56,2.10,3261,3.60,9.8,0.00,0
7.098,0.38,16,0.00,0.00,0.00,40.50,20.31,2.10,3177,3.62,9.8,0.00,0
7.151,0.38,16,0.00,0.00,0.00,40.50,20.32,2.10,3241,3.64,9.8,0.00,0
7.218,0.37,16,0.00,0.00,0.00,40.50,19.76,2.10,3241,3.64,9.8,0.00,0
7.270,0.37,16,0.00,0.00,0.00,40.00,19.99,2.10,3254,3.65,9.8,0.00,0
7.329,0.37,16,0.00,0.00,0.00,40.00,20.07,2.10,3289,3.65,9.8,0.00,0
7.398,0.36,16,0.00,0.00,0.00,40.00,20.07,2.06,3282,3.69,9.8,0.00,0
7.452,0.36,16,0.00,0.00,0.00,40.00,19.76,2.08,3321,3.69,9.8,0.00,0
7.507,0.36,16,0.00,0.00,0.00,40.00,20.31,2.10,3314,3.69,9.8,0.00,0
7.570,0.36,16,0.00,0.00,0.00,40.00,20.40,2.10,3330,3.71,9.8,0.00,0
7.626,0.36,16,0.00,0.00,0.00,40.00,19.69,2.08,3370,3.71,9.8,0.00,0
7.698,0.36,16,0.00,0.00,0.00,40.00,19.69,2.08,3356,3.79,9.8,0.00,0
7.750,0.37,16,0.00,0.00,0.00,40.00,20.57,2.10,3356,3.81,9.8,0.00,0
7.808,0.37,16,0.00,0.00,0.00,40.00,20.65,2.10,3366,3.81,9.8,0.00,0
7.872,0.36,16,0.00,0.00,0.00,40.00,20.07,2.10,3404,3.81,9.8,0.00,0
7.929,0.36,16,0.00,0.00,0.00,40.00,20.24,2.10,3417,3.83,9.8,0.00,0
7.983,0.35,16,0.00,0.00,0.00,40.00,19.69,2.08,3402,3.85,9.8,0.00,0
