Time (sec),Calculated Load (g/rev),Dyn Adv Mult (DAM),Dynamic Adv,Feedback Knock,Fine Knock Learn,Ignition Timing,MAF (g/s),MAF Volt (V),RPM (RPM),TD Boost Error (psi),Throttle Pos (%),Wastegate Duty (%),AP Info:[AP3-SUB-001 v1.7.3.1-17014][2005 USDM Impreza WRX][Reflash: Stage2 ACN91 v350 HWG.ptm - Realtime: Stage2 ACN91 v350 HWG.ptm]
0,0.22,16,0,0,0,20,2.67,1.18,718,8.62,0,0,0
0.033,0.22,16,0,0,0,20,2.69,1.18,713,8.59,0,0,0
0.1,0.22,16,0,0,0,20,2.65,1.18,720,8.59,0,0,0
0.154,0.22,16,0,0,0,20,2.59,1.18,714,8.59,0,0,0
0.211,0.22,16,0,0,0,20,2.6,1.18,706,8.57,0,0,0
0.277,0.22,16,0,0,0,20,2.6,1.18,743,8.53,0,0,0
0.331,0.22,16,0,0,0,20,2.69,1.18,684,8.51,0,0,0
0.397,0.23,16,0,0,0,20,2.71,1.18,684,8.47,0,0,0
0.453,0.23,16,0,0,0,20,2.73,1.18,677,8.39,0,0,0
0.512,0.23,16,0,0,0,20,2.71,1.18,673,8.37,0,0,0
0.579,0.23,16,0,0,0,20,2.81,1.2,658,8.28,0,0,0
0.636,0.24,16,0,0,0,20,2.85,1.2,668,8.24,0,0,0
0.692,0.24,16,0,0,0,20,2.79,1.2,664,8.1,0,0,0
0.748,0.24,16,0,0,0,20,2.85,1.2,658,8.1,0,0,0
0.815,0.25,16,0,0,0,20,2.9,1.2,674,8.06,0,0,0
0.861,0.25,16,0,0,0,20,2.98,1.22,692,7.97,0,0,0
0.92,0.25,16,0,0,0,18,2.98,1.22,694,7.91,0,0,0
0.994,0.25,16,0,0,0,17.5,3.04,1.22,694,7.85,0,0,0
1.039,0.25,16,0,0,0,16.5,3,1.22,698,7.85,0,0,0
1.102,0.25,16,0,0,0,15.5,2.83,1.2,706,7.83,0,0,0
1.166,0.25,16,0,0,0,14,2.83,1.2,718,7.85,0,0,0
1.221,0.25,16,0,0,0,14,2.83,1.2,716,7.87,0,0,0
1.297,0.25,16,0,0,0,15.5,2.87,1.22,705,7.87,0,0,0
1.337,0.25,16,0,0,0,14,3.07,1.24,716,7.93,0,0,0
1.401,0.25,16,0,0,0,13,3.11,1.22,721,7.93,0,0,0
1.456,0.25,16,0,0,0,13,3.03,1.24,727,7.91,0,0,0
1.522,0.25,16,0,0,0,12.5,3.03,1.22,726,7.95,0,0,0
1.576,0.25,16,0,0,0,12.5,3.03,1.22,720,7.95,0,0,0
1.638,0.25,16,0,0,0,13,2.96,1.2,720,7.97,0,0,0
1.696,0.25,16,0,0,0,13,2.89,1.22,722,7.99,0,0,0
1.751,0.25,16,0,0,0,12,2.92,1.2,727,7.99,0,0,0
1.824,0.25,16,0,0,0,13,2.96,1.22,716,7.99,0,0,0
1.878,0.25,16,0,0,0,13,2.98,1.22,717,7.97,0,0,0
1.936,0.25,16,0,0,0,14.5,3.03,1.22,702,7.97,0,0,0
1.989,0.25,16,0,0,0,14,3.04,1.22,703,7.97,0,0,0
2.057,0.25,16,0,0,0,13,3.07,1.22,711,7.95,0,0,0
2.11,0.25,16,0,0,0,13,3.11,1.24,710,7.93,0,0,0
2.176,0.26,16,0,0,0,13,3.11,1.24,768,7.89,0,0,0
2.234,0.26,16,0,0,0,14,3.18,1.24,704,7.87,0,0,0
2.291,0.26,16,0,0,0,14,3.13,1.24,700,7.83,0,0,0
